ФИО,Телефон,Адрес,Дата рождения,Любимое вино
User_785,+79110250041,"Тула, ул. Красноармейская, 67, кв. 21",1991-07-15,Wine_860
User_252,+79089986784,"Мурманск, пр. Ленина, 52, кв. 5",1973-12-11,Wine_986
User_708,+79936697490,"Череповец, ул. Ленина, 82, кв. 14",1997-03-23,Wine_219
User_1066,+79173575320,"Ульяновск, ул. Ленина, 82, кв. 12",2002-11-25,Wine_822
User_686,+79183772319,"Рязань, ул. Дзержинского, 26, кв. 5",1998-12-13,Wine_511
User_683,+79531314206,"Калуга, ул. Московская, 87, кв. 16",1992-12-08,Wine_501
User_1252,+79306443652,"Челябинск, ул. Таганская, 41, кв. 4",1994-09-19,Wine_428
User_1344,+79243447073,"Омск, ул. Лермонтова, 32, кв. 41",1994-05-20,Wine_14
User_553,+79056424112,"Иваново, ул. Мичурина, 24, кв. 22",1984-09-05,Wine_113
User_781,+79486699754,"Ставрополь, ул. Лермонтова, 34, кв. 18",1998-12-07,Wine_1000
User_1498,+79214228205,"Уфа, ул. Карла Маркса, 27, кв. 22",1990-08-04,Wine_538
User_509,+79670704791,"Новороссийск, ул. Курортная, 51, кв. 15",1988-11-27,Wine_429
User_1269,+79655541982,"Омск, ул. Челюскинцев, 89, кв. 8",1983-11-19,Wine_395
User_793,+79831159444,"Казань, пр. Победы, 17, кв. 6",1990-10-22,Wine_528
User_376,+79272330147,"Набережные Челны, пр. Химиков, 10, кв. 12",1981-11-06,Wine_573
User_1314,+79160713152,"Тольятти, ул. Ворошилова, 29, кв. 13",1995-04-25,Wine_171
User_534,+79412626266,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",1993-11-30,Wine_489
User_1153,+79142957070,"Омск, ул. Челюскинцев, 89, кв. 8",1991-03-14,Wine_517
Вера Константиновна Грогова,+79556834212,"Красноярск, ул. Мира, 15, кв. 3",1993-04-10,Wine_160
User_376,+79272330147,"Набережные Челны, пр. Химиков, 10, кв. 12",1981-11-06,Wine_322
User_138,+79319848708,"Челябинск, ул. Малышева, 36, кв. 9",2002-11-25,Wine_101
User_1466,+79229050079,"Красноярск, ул. Мира, 15, кв. 3",1984-07-29,Wine_280
User_330,+79226161004,"Казань, ул. Баумана, 56, кв. 12",1998-01-03,Wine_725
User_963,+79499324433,"Владимир, ул. Дзержинского, 77, кв. 15",1997-04-17,Wine_638
User_598,+79904253233,"Ростов-на-Дону, ул. Пушкинская, 85, кв. 3",1993-01-13,Wine_83
User_402,+79597429790,"Орел, ул. Горького, 44, кв. 22",2000-05-21,Wine_286
User_934,+79413336903,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",1997-02-10,Wine_723
User_1383,+79904261276,"Липецк, ул. Звездная, 88, кв. 4",2002-03-10,Wine_529
User_991,+79442482791,"Омск, ул. Лермонтова, 32, кв. 41",1997-03-23,Wine_660
User_756,+79606386602,"Псков, ул. Советская, 34, кв. 7",1981-11-03,Wine_117
User_112,+79200762980,"Кострома, ул. Красной Армии, 72, кв. 14",1998-05-16,Wine_150
User_709,+79590352352,"Казань, ул. Баумана, 19, кв. 12",1999-08-12,Wine_49
User_701,+79566555410,"Махачкала, ул. Гагарина, 24, кв. 5",1982-03-12,Wine_351
Оксана Вячеславовна Сангрия,+79621693665,"Курск, пр. Октябрьский, 57, кв. 13",2002-03-10,Wine_91
User_1450,+79444571952,"Тюмень, ул. Республики, 29, кв. 25",1980-03-23,Wine_430
User_821,+79720928632,"Владимир, ул. Дзержинского, 77, кв. 15",1997-03-23,Wine_605
User_247,+79132715849,"Махачкала, ул. Гагарина, 24, кв. 5",1977-07-11,Wine_953
User_982,+79231608695,"Москва, ул. Арбат, 64, кв. 22",1994-09-19,Wine_165
User_386,+79823566998,"Новосибирск, ул. Сибирская, 78, кв. 21",1977-07-11,Wine_246
User_1016,+79120987015,"Махачкала, ул. Гагарина, 24, кв. 5",2001-02-04,Wine_927
User_983,+79967344264,"Тольятти, ул. Волгоградская, 57, кв. 14",2002-11-25,Wine_716
User_127,+79937258163,"Курск, пр. Октябрьский, 57, кв. 13",1998-01-03,Wine_892
User_452,+79279872448,"Омск, ул. Челюскинцев, 89, кв. 8",1980-03-23,Wine_568
User_448,+79403203179,"Челябинск, ул. Малышева, 36, кв. 9",1999-08-12,Wine_814
User_1217,+79601050570,"Челябинск, ул. Малышева, 36, кв. 9",1990-06-29,Wine_180
User_147,+79177089099,"Калининград, ул. Ломоносова, 53, кв. 25",1991-03-08,Wine_783
User_1049,+79232184916,"Барнаул, ул. Ленина, 82, кв. 4",1998-12-13,Wine_153
User_203,+79796610472,"Казань, ул. Баумана, 19, кв. 12",1977-07-11,Wine_480
User_1362,+79964840604,"Сочи, ул. Красная, 59, кв. 21",1997-04-17,Wine_237
User_476,+79492510973,"Вологда, ул. Победы, 62, кв. 11",1990-10-29,Wine_433
User_950,+79484880446,"Архангельск, ул. Пушкина, 88, кв. 13",2003-02-04,Wine_687
User_615,+79015262951,"Омск, ул. Лермонтова, 32, кв. 41",1998-05-16,Wine_791
User_183,+79610748268,"Брянск, ул. Толстого, 21, кв. 14",1995-04-25,Wine_466
User_1451,+79087704294,"Тюмень, ул. Республики, 29, кв. 25",1986-11-21,Wine_866
User_390,+79981706773,"Саратов, ул. Гагарина, 92, кв. 22",2003-09-30,Wine_414
User_212,+79632887188,"Мурманск, пр. Мира, 50, кв. 22",1989-02-11,Wine_993
User_1079,+79476585195,"Астрахань, ул. Советская, 75, кв. 9",1993-09-14,Wine_807
User_1084,+79791320536,"Кемерово, ул. Красная, 93, кв. 32",1973-12-11,Wine_250
User_1247,+79909622387,"Екатеринбург, ул. Мичурина, 55, кв. 10",1986-06-12,Wine_644
User_1172,+79661529413,"Омск, ул. Лермонтова, 32, кв. 41",1984-09-05,Wine_156
User_587,+79952632838,"Оренбург, ул. Карла Маркса, 84, кв. 16",1998-12-13,Wine_60
User_1338,+79352962227,"Ульяновск, ул. Ленина, 82, кв. 12",1999-08-12,Wine_750
User_1360,+79036607356,"Калининград, ул. Ломоносова, 53, кв. 25",1973-12-11,Wine_241
User_637,+79113197396,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",2002-09-09,Wine_879
User_723,+79127886322,"Казань, пр. Победы, 17, кв. 6",1990-06-29,Wine_259
User_418,+79353958268,"Липецк, ул. Звездная, 88, кв. 4",1994-07-04,Wine_552
User_564,+79658289475,"Челябинск, ул. Кирова, 10, кв. 7",1992-12-08,Wine_553
Оксана Павловна Портвейнская,+79584226621,"Челябинск, ул. Таганская, 41, кв. 4",1996-08-28,Wine_299
User_300,+79882099916,"Махачкала, ул. Гагарина, 24, кв. 5",1980-03-23,Wine_765
User_694,+79474042277,"Омск, ул. Челюскинцев, 89, кв. 8",1991-03-14,Wine_477
User_822,+79160599664,"Череповец, ул. Ленина, 82, кв. 14",1991-03-14,Wine_885
User_1270,+79550783655,"Курск, пр. Октябрьский, 57, кв. 13",1994-05-25,Wine_13
User_1307,+79593676973,"Псков, ул. Советская, 34, кв. 7",1984-09-05,Wine_151
User_1160,+79135462927,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",1997-04-22,Wine_194
User_615,+79015262951,"Омск, ул. Лермонтова, 32, кв. 41",1998-05-16,Wine_667
User_616,+79056393483,"Ставрополь, ул. Ленина, 39, кв. 22",1989-05-05,Wine_535
User_1432,+79977769601,"Кострома, ул. Московская, 60, кв. 18",1993-11-30,Wine_68
User_357,+79056999620,"Мурманск, пр. Мира, 50, кв. 22",1998-12-13,Wine_126
User_180,+79348719275,"Кострома, ул. Московская, 60, кв. 18",1999-08-12,Wine_505
User_366,+79097197597,"Ульяновск, ул. Ленина, 82, кв. 12",1998-01-03,Wine_899
User_744,+79164702478,"Воронеж, пр. Мира, 59, кв. 6",1974-07-24,Wine_339
User_1415,+79026318163,"Сочи, ул. Пушкина, 76, кв. 12",2002-11-25,Wine_346
User_1160,+79135462927,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",1997-04-22,Wine_461
User_1333,+79190272911,"Новосибирск, ул. Дзержинского, 80, кв. 15",1999-02-13,Wine_780
User_1212,+79128590501,"Калуга, ул. Московская, 87, кв. 16",2003-06-09,Wine_713
User_670,+79711537448,"Казань, пр. Победы, 17, кв. 6",1992-12-08,Wine_118
User_106,+79492124661,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",1996-08-28,Wine_115
User_284,+79716165139,"Новосибирск, ул. Дзержинского, 80, кв. 15",1972-02-14,Wine_240
User_922,+79616577530,"Архангельск, ул. Северная, 11, кв. 19",1981-11-06,Wine_862
User_1461,+79574631220,"Челябинск, ул. Таганская, 41, кв. 4",1980-12-29,Wine_377
User_1380,+79026759943,"Псков, ул. Советская, 34, кв. 7",1994-07-04,Wine_958
User_358,+79013060539,"Саранск, ул. Советская, 46, кв. 9",1998-12-07,Wine_947
User_182,+79182094778,"Самара, ул. Стара-Загора, 92, кв. 13",,Wine_433
User_114,+79477467822,"Краснодар, ул. Красная, 51, кв. 5",1977-07-11,Wine_667
User_606,+79035506499,"Тула, пр. Ленина, 33, кв. 14",1984-06-13,Wine_830
User_506,+79891886174,"Пенза, пр. Победы, 90, кв. 12",1997-01-09,Wine_110
User_401,+79084386235,"Тюмень, ул. Республики, 29, кв. 25",1989-05-05,Wine_974
User_975,+79979673789,"Липецк, ул. Звездная, 88, кв. 4",1993-11-30,Wine_779
User_631,+79034762678,"Уфа, ул. Ленина, 27, кв. 13",1986-11-21,Wine_327
User_694,+79474042277,"Омск, ул. Челюскинцев, 89, кв. 8",1991-03-14,Wine_989
User_1151,+79896352432,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",2002-09-09,Wine_503
User_825,+79972889777,"Мурманск, пр. Мира, 50, кв. 22",1994-07-04,Wine_86
User_577,+79476133679,"Новосибирск, ул. Красный Проспект, 41, кв. 9",1998-12-13,Wine_708
User_1260,+79179770615,"Саратов, ул. Чернышевского, 54, кв. 16",1983-03-01,Wine_242
User_252,+79089986784,"Мурманск, пр. Ленина, 52, кв. 5",1973-12-11,Wine_542
User_1349,+79260849107,"Саранск, ул. Советская, 46, кв. 9",1989-02-11,Wine_100
User_943,+79795951333,"Тольятти, ул. Ворошилова, 29, кв. 13",1983-11-19,Wine_114
User_1225,+79005388824,"Ижевск, ул. Азина, 42, кв. 9",1994-07-04,Wine_516
User_1252,+79306443652,"Челябинск, ул. Таганская, 41, кв. 4",1994-09-19,Wine_233
User_1219,+79493703332,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",1983-03-01,Wine_891
User_1485,+79853084202,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",1990-09-16,Wine_860
User_918,+79947076212,"Омск, ул. Лермонтова, 32, кв. 41",1990-10-22,Wine_116
User_953,+79329133392,"Мурманск, пр. Ленина, 52, кв. 5",1987-11-06,Wine_243
User_1420,+79350181938,"Барнаул, ул. Советская, 65, кв. 32",1978-05-15,Wine_864
User_889,+79541572642,"Тольятти, ул. Волгоградская, 57, кв. 14",1988-11-27,Wine_465
User_1384,+79986384579,"Екатеринбург, ул. Мичурина, 55, кв. 10",2003-09-30,Wine_159
User_332,+79452219026,"Ставрополь, ул. Ленина, 39, кв. 22",1993-04-10,Wine_45
User_1237,+79626951438,"Красноярск, ул. Мира, 15, кв. 3",1993-04-10,Wine_250
User_705,+79879595517,"Челябинск, ул. Таганская, 41, кв. 4",1990-10-29,Wine_964
User_861,+79308206705,"Брянск, ул. Кольцевая, 33, кв. 11",1987-11-06,Wine_601
User_1082,+79237677623,"Волгоград, ул. Красноармейская, 81, кв. 6",1989-05-05,Wine_623
User_669,+79553780515,"Волгоград, ул. Сталинградская, 50, кв. 11",1982-03-12,Wine_512
User_262,+79555938783,"Москва, ул. Арбат, 64, кв. 22",1989-02-11,Wine_329
User_724,+79566773085,"Саратов, ул. Гагарина, 92, кв. 22",1980-03-23,Wine_681
User_610,+79823884216,"Москва, ул. Арбат, 64, кв. 22",1989-05-05,Wine_662
User_762,+79823892058,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1997-04-19,Wine_699
User_1362,+79964840604,"Сочи, ул. Красная, 59, кв. 21",1997-04-17,Wine_344
User_1254,+79743619784,"Воронеж, пр. Революции, 74, кв. 18",1990-10-29,Wine_431
User_534,+79412626266,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",1993-11-30,Wine_144
Галина Павловна Винова,+79005482447,"Волгоград, ул. Сталинградская, 50, кв. 11",1999-08-12,Wine_560
User_1306,+79392070368,"Кемерово, ул. Красная, 93, кв. 32",1991-07-15,Wine_136
User_1070,+79738487672,"Саратов, ул. Чернышевского, 54, кв. 16",1990-10-22,Wine_984
User_376,+79272330147,"Набережные Челны, пр. Химиков, 10, кв. 12",1981-11-06,Wine_338
User_646,+79343903858,"Красноярск, ул. Мира, 15, кв. 3",1994-05-20,Wine_184
Михаил Борисович Винодел,+79528661703,"Курск, пр. Октябрьский, 57, кв. 13",1990-08-04,Wine_896
Людмила Анатольевна Грапова,+79445072724,"Белгород, пр. Бульварный, 12, кв. 8",1994-05-20,Wine_862
User_1080,+79424426600,"Сочи, ул. Красная, 59, кв. 21",1983-03-01,Wine_164
User_174,+79344449277,"Ульяновск, ул. Ленина, 82, кв. 12",1990-06-29,Wine_567
User_751,+79544240834,"Набережные Челны, пр. Химиков, 9, кв. 3",1994-05-20,Wine_630
User_833,+79353921240,"Псков, ул. Советская, 34, кв. 7",1993-11-30,Wine_12
User_402,+79597429790,"Орел, ул. Горького, 44, кв. 22",2000-05-21,Wine_683
User_301,+79348571823,"Курск, ул. Ленина, 43, кв. 28",1998-01-03,Wine_305
User_950,+79484880446,"Архангельск, ул. Пушкина, 88, кв. 13",2003-02-04,Wine_529
User_782,+79110080147,"Кострома, ул. Московская, 60, кв. 18",1998-01-03,Wine_849
User_371,+79692225877,"Волгоград, ул. Сталинградская, 50, кв. 11",1995-07-10,Wine_723
User_1266,+79835771908,"Курск, ул. Ленина, 43, кв. 28",1998-05-16,Wine_147
User_1023,+79743354202,"Ростов-на-Дону, ул. Пушкинская, 85, кв. 3",1993-09-14,Wine_887
User_501,+79130632282,"Рязань, ул. Дзержинского, 26, кв. 5",1996-08-28,Wine_39
User_987,+79730360222,"Махачкала, ул. Гагарина, 24, кв. 5",1985-09-02,Wine_473
User_1000,+79009128622,"Мурманск, пр. Мира, 50, кв. 22",1984-07-29,Wine_631
User_950,+79484880446,"Архангельск, ул. Пушкина, 88, кв. 13",2003-02-04,Wine_924
User_607,+79440537185,"Воронеж, пр. Мира, 59, кв. 6",1981-11-06,Wine_568
User_1426,+79130972970,"Набережные Челны, пр. Химиков, 10, кв. 12",1991-01-29,Wine_459
User_1461,+79574631220,"Челябинск, ул. Таганская, 41, кв. 4",1980-12-29,Wine_609
User_145,+79190051872,"Брянск, ул. Толстого, 21, кв. 14",1982-03-12,Wine_510
User_1180,+79434252600,"Брянск, ул. Толстого, 21, кв. 14",1986-06-12,Wine_709
User_557,+79910830359,"Новороссийск, ул. Курортная, 51, кв. 15",1991-03-14,Wine_637
User_1259,+79361686316,"Ульяновск, ул. Ленина, 82, кв. 12",1991-01-29,Wine_685
User_216,+79750102252,"Воронеж, пр. Мира, 59, кв. 6",1991-03-14,Wine_420
User_1351,+79433322075,"Ульяновск, пр. Ленинский, 13, кв. 7",1995-07-10,Wine_946
User_1001,+79299463436,"Новосибирск, ул. Красный Проспект, 41, кв. 9",1987-02-02,Wine_691
User_1275,+79419688307,"Ростов-на-Дону, пр. Стачки, 64, кв. 14",1990-10-29,Wine_142
User_229,+79973383839,"Барнаул, ул. Ленина, 82, кв. 4",1989-05-05,Wine_872
User_1021,+79345886769,"Махачкала, ул. Гагарина, 24, кв. 5",1997-01-09,Wine_631
User_972,+79654972931,"Пермь, ул. Куйбышева, 98, кв. 10",1997-04-17,Wine_541
User_1131,+79304253490,"Пенза, ул. Тихонова, 24, кв. 8",1974-07-24,Wine_264
User_1111,+79045112573,"Тула, ул. Красноармейская, 67, кв. 21",1998-05-16,Wine_740
User_1153,+79142957070,"Омск, ул. Челюскинцев, 89, кв. 8",1991-03-14,Wine_695
User_954,+79597194628,"Пенза, ул. Тихонова, 24, кв. 8",1992-08-31,Wine_892
User_1063,+79013898269,"Барнаул, ул. Ленина, 82, кв. 4",1993-11-30,Wine_376
User_802,+79452596801,"Ярославль, ул. Волковская, 35, кв. 20",1994-05-25,Wine_244
User_1184,+79366241634,"Саратов, ул. Гагарина, 92, кв. 22",2002-09-09,Wine_525
User_1446,+79990926511,"Брянск, ул. Толстого, 21, кв. 14",1998-01-03,Wine_141
User_1257,+79663593358,"Иваново, ул. Пушкина, 76, кв. 19",1994-05-25,Wine_259
User_874,+79674436193,"Ульяновск, ул. Ленина, 82, кв. 12",1991-01-29,Wine_169
User_1483,+79135243735,"Ставрополь, ул. Лермонтова, 34, кв. 18",1998-01-03,Wine_530
User_559,+79729990036,"Курск, ул. Ленина, 43, кв. 28",1993-01-13,Wine_139
User_425,+79206123153,"Набережные Челны, пр. Химиков, 9, кв. 3",1998-01-03,Wine_983
User_1494,+79137529129,"Новороссийск, ул. Курортная, 51, кв. 15",1991-03-08,Wine_773
User_648,+79817772614,"Сочи, ул. Красная, 59, кв. 21",1993-04-10,Wine_894
User_1169,+79108034985,"Сыктывкар, ул. Ленина, 62, кв. 21",1990-10-29,Wine_250
User_994,+79810953908,"Набережные Челны, пр. Химиков, 10, кв. 12",1990-06-29,Wine_608
User_964,+79894807897,"Иваново, ул. Мичурина, 24, кв. 22",1999-06-06,Wine_429
User_932,+79260453567,"Мурманск, пр. Мира, 50, кв. 22",1986-06-12,Wine_14
User_212,+79632887188,"Мурманск, пр. Мира, 50, кв. 22",1989-02-11,Wine_786
User_965,+79615991306,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1986-06-12,Wine_915
User_929,+79765310024,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",1993-11-30,Wine_959
User_366,+79097197597,"Ульяновск, ул. Ленина, 82, кв. 12",1998-01-03,Wine_827
User_576,+79874398906,"Казань, ул. Баумана, 19, кв. 12",1994-07-04,Wine_105
User_92,+79032812712,"Курск, ул. Ленина, 43, кв. 28",1980-03-23,Wine_320
User_1309,+79100609265,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1990-06-29,Wine_829
User_915,+79949354895,"Орел, ул. Горького, 44, кв. 22",1990-09-16,Wine_268
User_894,+79379797630,"Иваново, ул. Интернациональная, 34, кв. 22",1997-04-22,Wine_305
User_403,+79518481257,"Санкт-Петербург, пр. Невский, 45, кв. 19",1993-09-14,Wine_277
User_739,+79504205688,"Уфа, ул. Ленина, 27, кв. 13",1998-05-16,Wine_415
User_1273,+79335007824,"Санкт-Петербург, пр. Невский, 45, кв. 19",1983-03-01,Wine_132
User_300,+79882099916,"Махачкала, ул. Гагарина, 24, кв. 5",1980-03-23,Wine_306
User_1121,+79446399915,"Пенза, пр. Победы, 90, кв. 12",1991-01-29,Wine_84
User_1049,+79232184916,"Барнаул, ул. Ленина, 82, кв. 4",1998-12-13,Wine_90
User_1380,+79026759943,"Псков, ул. Советская, 34, кв. 7",1994-07-04,Wine_597
User_212,+79632887188,"Мурманск, пр. Мира, 50, кв. 22",1989-02-11,Wine_949
User_158,+79351110571,"Набережные Челны, пр. Химиков, 9, кв. 3",1989-05-05,Wine_692
User_154,+79842543431,"Казань, ул. Баумана, 19, кв. 12",1973-12-11,Wine_47
User_135,+79376805030,"Астрахань, ул. Советская, 75, кв. 9",2000-05-21,Wine_341
User_324,+79291196774,"Белгород, пр. Бульварный, 12, кв. 8",1994-05-25,Wine_920
User_920,+79309115364,"Барнаул, ул. Советская, 65, кв. 32",1999-05-11,Wine_539
User_729,+79361452095,"Набережные Челны, пр. Химиков, 10, кв. 12",1991-03-08,Wine_348
User_1024,+79987973589,"Воронеж, пр. Мира, 59, кв. 6",1988-07-25,Wine_876
User_1477,+79497676179,"Москва, ул. Тверская, 12, кв. 34",1994-05-25,Wine_947
User_1457,+79859123855,"Челябинск, ул. Кирова, 10, кв. 7",1990-10-29,Wine_356
User_988,+79995153825,"Астрахань, ул. Советская, 75, кв. 9",1981-11-06,Wine_816
User_859,+79339272867,"Екатеринбург, ул. Мичурина, 55, кв. 10",1991-03-14,Wine_52
User_123,+79450362668,"Уфа, ул. Ленина, 27, кв. 13",1979-11-16,Wine_522
User_1369,+79273652677,"Сыктывкар, ул. Ленина, 62, кв. 21",1990-08-04,Wine_921
User_1453,+79466325343,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",1999-08-12,Wine_313
User_929,+79765310024,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",1993-11-30,Wine_122
User_559,+79729990036,"Курск, ул. Ленина, 43, кв. 28",1993-01-13,Wine_157
User_831,+79839603264,"Ростов-на-Дону, ул. Пушкинская, 85, кв. 3",1997-04-17,Wine_206
User_1373,+79717875029,"Казань, пр. Победы, 17, кв. 6",1989-02-11,Wine_730
Татьяна Сергеевна Шампанское,+79653662721,"Смоленск, ул. Романова, 25, кв. 19",1980-12-29,Wine_846
User_640,+79157175331,"Набережные Челны, пр. Химиков, 9, кв. 3",1972-02-14,Wine_32
User_323,+79608004858,"Москва, ул. Арбат, 64, кв. 22",1989-05-05,Wine_911
User_944,+79131011720,"Смоленск, ул. Романова, 25, кв. 19",1997-02-10,Wine_290
User_1134,+79608211320,"Брянск, пр. Славы, 67, кв. 6",1999-05-11,Wine_435
User_378,+79100567293,"Липецк, ул. Звездная, 88, кв. 4",1983-03-01,Wine_615
User_499,+79645414787,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",1986-11-21,Wine_574
User_1163,+79100685120,"Брянск, пр. Славы, 67, кв. 6",1974-07-24,Wine_326
User_479,+79742327631,"Казань, ул. Баумана, 56, кв. 12",1977-07-11,Wine_76
User_394,+79794728152,"Челябинск, ул. Малышева, 36, кв. 9",1997-02-10,Wine_208
User_1012,+79956003563,"Екатеринбург, ул. Мичурина, 55, кв. 10",1986-08-16,Wine_333
User_1344,+79243447073,"Омск, ул. Лермонтова, 32, кв. 41",1994-05-20,Wine_105
User_1407,+79097294222,"Екатеринбург, ул. Мичурина, 55, кв. 10",1984-09-05,Wine_258
User_1049,+79232184916,"Барнаул, ул. Ленина, 82, кв. 4",1998-12-13,Wine_504
User_324,+79291196774,"Белгород, пр. Бульварный, 12, кв. 8",1994-05-25,Wine_763
User_977,+79720459834,"Казань, ул. Баумана, 56, кв. 12",2002-03-10,Wine_550
User_1379,+79188566760,"Казань, ул. Баумана, 19, кв. 12",2002-03-10,Wine_959
User_648,+79817772614,"Сочи, ул. Красная, 59, кв. 21",1993-04-10,Wine_942
User_1022,+79386533600,"Воронеж, пр. Революции, 74, кв. 18",1974-07-24,Wine_931
User_1055,+79170554012,"Оренбург, ул. Карла Маркса, 84, кв. 16",1986-11-21,Wine_696
User_514,+79451913777,"Ульяновск, ул. Ленина, 82, кв. 12",1984-06-13,Wine_475
Иван Артемович Шампан,+79831987312,"Калуга, ул. Московская, 87, кв. 16",1972-02-14,Wine_507
User_138,+79319848708,"Челябинск, ул. Малышева, 36, кв. 9",2002-11-25,Wine_291
User_905,+79406090574,"Череповец, ул. Ленина, 82, кв. 14",1990-09-16,Wine_214
User_457,+79622528479,"Череповец, ул. Ленина, 82, кв. 14",1992-12-08,Wine_665
User_382,+79133617700,"Санкт-Петербург, пр. Невский, 45, кв. 19",1992-12-08,Wine_670
User_1478,+79789868947,"Пермь, ул. Куйбышева, 98, кв. 10",1980-12-29,Wine_898
User_591,+79093664761,"Екатеринбург, ул. Мичурина, 55, кв. 10",1990-10-29,Wine_847
Дарина Игоревна Текилович,+79584985280,"Барнаул, ул. Ленина, 82, кв. 4",,Wine_369
User_341,+79894857686,"Ставрополь, ул. Лермонтова, 34, кв. 18",1997-01-09,Wine_376
User_313,+79451397737,"Набережные Челны, пр. Химиков, 9, кв. 3",1993-04-10,Wine_239
User_809,+79644988728,"Саранск, ул. Советская, 46, кв. 9",1986-11-21,Wine_409
Валентина Павловна Романовская,+79188149824,"Ижевск, ул. Азина, 42, кв. 9",1990-09-16,Wine_470
User_1247,+79909622387,"Екатеринбург, ул. Мичурина, 55, кв. 10",1986-06-12,Wine_194
User_745,+79708356957,"Курск, ул. Ленина, 43, кв. 28",1981-11-06,Wine_668
User_1192,+79942394509,"Тольятти, ул. Волгоградская, 57, кв. 14",1991-03-08,Wine_993
User_1112,+79359826902,"Смоленск, ул. Романова, 25, кв. 19",1994-09-19,Wine_581
User_426,+79739464915,"Воронеж, пр. Мира, 59, кв. 6",1980-03-23,Wine_819
User_586,+79536721637,"Москва, ул. Арбат, 64, кв. 22",1987-02-02,Wine_663
User_1278,+79319358816,"Курск, ул. Ленина, 43, кв. 28",1991-01-29,Wine_854
User_982,+79231608695,"Москва, ул. Арбат, 64, кв. 22",1994-09-19,Wine_440
Павел Александрович Пино,+79364878908,"Воронеж, ул. Свердлова, 59, кв. 3",1993-04-10,Wine_888
User_154,+79842543431,"Казань, ул. Баумана, 19, кв. 12",1973-12-11,Wine_386
User_660,+79696629196,"Ростов-на-Дону, ул. Пушкинская, 85, кв. 3",1994-09-19,Wine_80
User_1131,+79304253490,"Пенза, ул. Тихонова, 24, кв. 8",1974-07-24,Wine_692
User_363,+79427922218,"Ульяновск, ул. Ленина, 82, кв. 12",1974-07-24,Wine_970
User_897,+79723554672,"Новосибирск, ул. Сибирская, 78, кв. 21",2003-09-30,Wine_158
User_960,+79031845463,"Сыктывкар, ул. Ленина, 62, кв. 21",1984-06-13,Wine_124
User_925,+79388211651,"Воронеж, пр. Мира, 59, кв. 6",1999-08-12,Wine_298
User_345,+79774859925,"Новороссийск, ул. Курортная, 51, кв. 15",1995-04-25,Wine_696
User_419,+79610351824,"Саранск, ул. Гагарина, 23, кв. 5",1991-03-08,Wine_296
User_1317,+79866738484,"Уфа, ул. Карла Маркса, 27, кв. 22",1988-07-25,Wine_314
User_209,+79572767942,"Кострома, ул. Московская, 60, кв. 18",1999-06-06,Wine_544
User_1278,+79319358816,"Курск, ул. Ленина, 43, кв. 28",1991-01-29,Wine_621
Наталья Викторовна Шардоне,+79616100901,"Ульяновск, пр. Ленинский, 13, кв. 7",1989-02-11,Wine_604
User_615,+79015262951,"Омск, ул. Лермонтова, 32, кв. 41",1998-05-16,Wine_145
User_1383,+79904261276,"Липецк, ул. Звездная, 88, кв. 4",2002-03-10,Wine_395
User_1027,+79764474166,"Саратов, ул. Гагарина, 92, кв. 22",2000-05-21,Wine_666
Марина Анатольевна Ризлингова,+79172707946,"Калининград, ул. Ломоносова, 53, кв. 25",2000-05-21,Wine_259
User_1317,+79866738484,"Уфа, ул. Карла Маркса, 27, кв. 22",1988-07-25,Wine_931
User_1307,+79593676973,"Псков, ул. Советская, 34, кв. 7",1984-09-05,Wine_643
User_1099,+79161147884,"Пенза, пр. Победы, 90, кв. 12",1983-03-01,Wine_395
User_131,+79157249434,"Курск, пр. Октябрьский, 57, кв. 13",1992-08-31,Wine_149
User_569,+79472742044,"Липецк, ул. Звездная, 88, кв. 4",2002-03-10,Wine_168
User_1002,+79742823062,"Пенза, ул. Тихонова, 24, кв. 8",2001-12-25,Wine_208
User_384,+79501951650,"Челябинск, ул. Таганская, 41, кв. 4",1995-07-18,Wine_42
User_937,+79645153181,"Санкт-Петербург, пр. Невский, 45, кв. 19",1993-11-30,Wine_254
User_702,+79762906514,"Курск, ул. Ленина, 43, кв. 28",1981-03-21,Wine_55
User_968,+79135599204,"Москва, ул. Арбат, 64, кв. 22",1984-06-13,Wine_961
User_1379,+79188566760,"Казань, ул. Баумана, 19, кв. 12",2002-03-10,Wine_233
User_1027,+79764474166,"Саратов, ул. Гагарина, 92, кв. 22",2000-05-21,Wine_709
